Season,posicao,time,faixa,jogos,vitorias,empates,derrotas,gols_pro,gols_contra,saldo_gols,pontos
1516,1,Leicester,G6 (1-6),38,23,12,3,68,36,32,81
1516,2,Arsenal,G6 (1-6),38,20,11,7,65,36,29,71
1516,3,Tottenham,G6 (1-6),38,19,13,6,69,35,34,70
1516,4,Man City,G6 (1-6),38,19,9,10,71,41,30,66
1516,5,Man United,G6 (1-6),38,19,9,10,49,35,14,66
1516,6,Southampton,G6 (1-6),38,18,9,11,59,41,18,63
1516,7,West Ham,Meio (7-14),38,16,14,8,65,51,14,62
1516,8,Liverpool,Meio (7-14),38,16,12,10,63,50,13,60
1516,9,Stoke,Meio (7-14),38,14,9,15,41,55,-14,51
1516,10,Chelsea,Meio (7-14),38,12,14,12,59,53,6,50
1516,11,Everton,Meio (7-14),38,11,14,13,59,55,4,47
1516,12,Swansea,Meio (7-14),38,12,11,15,42,52,-10,47
1516,13,Watford,Meio (7-14),38,12,9,17,40,50,-10,45
1516,14,West Brom,Meio (7-14),38,10,13,15,34,48,-14,43
1516,15,Crystal Palace,Z6 (15-20),38,11,9,18,39,51,-12,42
1516,16,Bournemouth,Z6 (15-20),38,11,9,18,45,67,-22,42
1516,17,Sunderland,Z6 (15-20),38,9,12,17,48,62,-14,39
1516,18,Newcastle,Z6 (15-20),38,9,10,19,44,65,-21,37
1516,19,Norwich,Z6 (15-20),38,9,7,22,39,67,-28,34
1516,20,Aston Villa,Z6 (15-20),38,3,8,27,27,76,-49,17
1617,1,Chelsea,G6 (1-6),38,30,3,5,85,33,52,93
1617,2,Tottenham,G6 (1-6),38,26,8,4,86,26,60,86
1617,3,Man City,G6 (1-6),38,23,9,6,80,39,41,78
1617,4,Liverpool,G6 (1-6),38,22,10,6,78,42,36,76
1617,5,Arsenal,G6 (1-6),38,23,6,9,77,44,33,75
1617,6,Man United,G6 (1-6),38,18,15,5,54,29,25,69
1617,7,Everton,Meio (7-14),38,17,10,11,62,44,18,61
1617,8,Southampton,Meio (7-14),38,12,10,16,41,48,-7,46
1617,9,Bournemouth,Meio (7-14),38,12,10,16,55,67,-12,46
1617,10,West Brom,Meio (7-14),38,12,9,17,43,51,-8,45
1617,11,West Ham,Meio (7-14),38,12,9,17,47,64,-17,45
1617,12,Leicester,Meio (7-14),38,12,8,18,48,63,-15,44
1617,13,Stoke,Meio (7-14),38,11,11,16,41,56,-15,44
1617,14,Crystal Palace,Meio (7-14),38,12,5,21,50,63,-13,41
1617,15,Swansea,Z6 (15-20),38,12,5,21,45,70,-25,41
1617,16,Burnley,Z6 (15-20),38,11,7,20,39,55,-16,40
1617,17,Watford,Z6 (15-20),38,11,7,20,40,68,-28,40
1617,18,Hull,Z6 (15-20),38,9,7,22,37,80,-43,34
1617,19,Middlesbrough,Z6 (15-20),38,5,13,20,27,53,-26,28
1617,20,Sunderland,Z6 (15-20),38,6,6,26,29,69,-40,24
1718,1,Man City,G6 (1-6),38,32,4,2,106,27,79,100
1718,2,Man United,G6 (1-6),38,25,6,7,68,28,40,81
1718,3,Tottenham,G6 (1-6),38,23,8,7,74,36,38,77
1718,4,Liverpool,G6 (1-6),38,21,12,5,84,38,46,75
1718,5,Chelsea,G6 (1-6),38,21,7,10,62,38,24,70
1718,6,Arsenal,G6 (1-6),38,19,6,13,74,51,23,63
1718,7,Burnley,Meio (7-14),38,14,12,12,36,39,-3,54
1718,8,Everton,Meio (7-14),38,13,10,15,44,58,-14,49
1718,9,Leicester,Meio (7-14),38,12,11,15,56,60,-4,47
1718,10,Newcastle,Meio (7-14),38,12,8,18,39,47,-8,44
1718,11,Crystal Palace,Meio (7-14),38,11,11,16,45,55,-10,44
1718,12,Bournemouth,Meio (7-14),38,11,11,16,45,61,-16,44
1718,13,West Ham,Meio (7-14),38,10,12,16,48,68,-20,42
1718,14,Watford,Meio (7-14),38,11,8,19,44,64,-20,41
1718,15,Brighton,Z6 (15-20),38,9,13,16,34,54,-20,40
1718,16,Huddersfield,Z6 (15-20),38,9,10,19,28,58,-30,37
1718,17,Southampton,Z6 (15-20),38,7,15,16,37,56,-19,36
1718,18,Swansea,Z6 (15-20),38,8,9,21,28,56,-28,33
1718,19,Stoke,Z6 (15-20),38,7,12,19,35,68,-33,33
1718,20,West Brom,Z6 (15-20),38,6,13,19,31,56,-25,31
1819,1,Man City,G6 (1-6),38,32,2,4,95,23,72,98
1819,2,Liverpool,G6 (1-6),38,30,7,1,89,22,67,97
1819,3,Chelsea,G6 (1-6),38,21,9,8,63,39,24,72
1819,4,Tottenham,G6 (1-6),38,23,2,13,67,39,28,71
1819,5,Arsenal,G6 (1-6),38,21,7,10,73,51,22,70
1819,6,Man United,G6 (1-6),38,19,9,10,65,54,11,66
1819,7,Wolves,Meio (7-14),38,16,9,13,47,46,1,57
1819,8,Everton,Meio (7-14),38,15,9,14,54,46,8,54
1819,9,Leicester,Meio (7-14),38,15,7,16,51,48,3,52
1819,10,West Ham,Meio (7-14),38,15,7,16,52,55,-3,52
1819,11,Watford,Meio (7-14),38,14,8,16,52,59,-7,50
1819,12,Crystal Palace,Meio (7-14),38,14,7,17,51,53,-2,49
1819,13,Newcastle,Meio (7-14),38,12,9,17,42,48,-6,45
1819,14,Bournemouth,Meio (7-14),38,13,6,19,56,70,-14,45
1819,15,Burnley,Z6 (15-20),38,11,7,20,45,68,-23,40
1819,16,Southampton,Z6 (15-20),38,9,12,17,45,65,-20,39
1819,17,Brighton,Z6 (15-20),38,9,9,20,35,60,-25,36
1819,18,Cardiff,Z6 (15-20),38,10,4,24,34,69,-35,34
1819,19,Fulham,Z6 (15-20),38,7,5,26,34,81,-47,26
1819,20,Huddersfield,Z6 (15-20),38,3,7,28,22,76,-54,16
1920,1,Liverpool,G6 (1-6),38,32,3,3,85,33,52,99
