,ataque,defesa,forca_liquida
Man City,0.6398470983173189,0.5524769051637777,1.1923240034810965
Liverpool,0.5330302788562861,0.395545785489261,0.9285760643455471
Arsenal,0.42296357231112225,0.3711440010433223,0.7941075733544445
Tottenham,0.3878662462943531,0.24110480612045226,0.6289710524148053
Chelsea,0.3313498532666333,0.28875203895013,0.6201018922167634
Man United,0.2599599661192768,0.2994111009002692,0.559371067019546
Brentford,0.2225078780631614,0.10929187191435977,0.33179974997752115
Leicester,0.19937821973497477,0.062416816701466274,0.26179503643644103
Newcastle,0.14078667819352056,0.11715487353849721,0.25794155173201777
Aston Villa,0.13136881340607348,0.08393638333436507,0.21530519674043855
Brighton,0.05729924442620468,0.13786263573528582,0.1951618801614905
Everton,0.0200504823302301,0.1486652046452506,0.1687156869754807
West Ham,0.13886104274586694,0.014401823743829895,0.15326286648969684
Nott'm Forest,0.06471107020957789,0.07692620911622562,0.1416372793258035
Crystal Palace,-0.017596126067659996,0.11765720625954258,0.10006108019188259
Fulham,0.0005056472519271545,0.04846374132100224,0.0489693885729294
Bournemouth,0.0894601279904075,-0.044936696661497424,0.04452343132891008
Leeds,0.11774185682071912,-0.08110278360229066,0.036639073218428464
Wolves,-0.08953402328994484,0.11448789892520576,0.024953875635260928
Southampton,-0.06371099013918137,-0.03520794378446829,-0.09891893392364966
Sunderland,-0.1497650754099469,0.006142278507185194,-0.14362279690276172
Burnley,-0.16955734342817855,0.025704623774168562,-0.14385271965400998
Luton,0.14946948677049995,-0.3219572149077355,-0.17248772813723554
Watford,-0.11355464205303607,-0.06634638172906455,-0.17990102378210063
Stoke,-0.17158039247825604,-0.012285315324684486,-0.18386570780294054
Swansea,-0.19216303694472847,-0.005963562432078925,-0.1981265993768074
West Brom,-0.2563481502501758,0.033179779730030314,-0.22316837052014551
Cardiff,-0.2894471003361155,-0.13916375961122343,-0.42861085994733894
Middlesbrough,-0.5567628614502552,0.09628830809631929,-0.46047455335393594
Ipswich,-0.21189556631228268,-0.2604541990523934,-0.4723497653646761
Sheffield United,-0.3733507004475724,-0.10421591011673,-0.4775666105643024
Hull,-0.21653703467382449,-0.3252099328772844,-0.5417469675511088
Norwich,-0.43614851926499637,-0.2083722628531934,-0.6445207821181898
Huddersfield,-0.5992060005619992,-0.1052182525646931,-0.7044242531266923
